eid,title,authors,year,journal,doi,citations,abstract,link
2-s2.0-84871307083,"Use of the MC-FAQ and MMSE-FAQ in cognitive screening of older african americans, hispanic americans, and european americans",Tappen R.,2012,American Journal of Geriatric Psychiatry,10.1097/JGP.0b013e31825d0935,14,,https://api.elsevier.com/content/abstract/scopus_id/84871307083
2-s2.0-85138097562,"Minimally Invasive Surgery in the United States, 2022: Understanding Its Value Using New Datasets",Mattingly A.S.,2023,Journal of Surgical Research,10.1016/j.jss.2022.08.006,14,,https://api.elsevier.com/content/abstract/scopus_id/85138097562
2-s2.0-85093706256,Barriers and facilitators to cervical screening among migrant women of african origin: A qualitative study in Finland,Idehen E.E.,2020,International Journal of Environmental Research and Public Health,10.3390/ijerph17207473,14,,https://api.elsevier.com/content/abstract/scopus_id/85093706256
2-s2.0-85161927253,The Nigerian Healthcare System: Pathway to Universal and High-Quality Health Care,Balogun J.A.,2022,Nigerian Healthcare System Pathway to Universal and High Quality Health Care,10.1007/978-3-030-88863-3,14,,https://api.elsevier.com/content/abstract/scopus_id/85161927253
2-s2.0-85165517587,Proposed quality indicators and recommended standard reporting items in performance of EBUS bronchoscopy: An official World Association for Bronchology and Interventional Pulmonology Expert Panel consensus statement,Steinfort D.P.,2023,Respirology,10.1111/resp.14549,14,,https://api.elsevier.com/content/abstract/scopus_id/85165517587
2-s2.0-85144748662,WISQARS Cost of Injury for public health research and practice,Peterson C.,2023,Injury Prevention,10.1136/ip-2022-044708,14,,https://api.elsevier.com/content/abstract/scopus_id/85144748662
2-s2.0-85114776422,The design and methods of the OPTIMUM study: A multisite pragmatic randomized clinical trial of a Telehealth group mindfulness program for persons with chronic low back pain,Greco C.M.,2021,Contemporary Clinical Trials,10.1016/j.cct.2021.106545,14,,https://api.elsevier.com/content/abstract/scopus_id/85114776422
2-s2.0-85159137359,Eliminating Medication Copayments for Low-Income Older Adults at High Cardiovascular Risk: A Randomized Controlled Trial,Campbell D.J.T.,2023,Circulation,10.1161/CIRCULATIONAHA.123.064188,14,,https://api.elsevier.com/content/abstract/scopus_id/85159137359
2-s2.0-85099162705,Outcomes of Percutaneous and Surgical Pulmonary Valve Implantation,Megaly M.,2021,Cardiovascular Revascularization Medicine,10.1016/j.carrev.2020.12.035,14,,https://api.elsevier.com/content/abstract/scopus_id/85099162705
2-s2.0-84887838207,The association of diabetes complications with physical activity in a representative sample of older adults in the United States,Janevic M.,2013,Chronic Illness,10.1177/1742395313475461,14,,https://api.elsevier.com/content/abstract/scopus_id/84887838207
2-s2.0-85160875681,"Diagnosis, causes, and treatment of dyspareunia in postmenopausal women",Streicher L.F.,2023,Menopause,10.1097/GME.0000000000002179,14,,https://api.elsevier.com/content/abstract/scopus_id/85160875681
2-s2.0-43349083747,California regional registered nurse workforce forecast,Lin V.W.H.,2008,Nursing Economics,,14,,https://api.elsevier.com/content/abstract/scopus_id/43349083747
2-s2.0-85105651280,Economic and humanistic burden associated with depression and anxiety among adults with non-communicable chronic diseases (Nccds) in the united states,Armbrecht E.,2021,Journal of Multidisciplinary Healthcare,10.2147/JMDH.S280200,14,,https://api.elsevier.com/content/abstract/scopus_id/85105651280
2-s2.0-84927974837,Rural disparities in receipt of colorectal cancer screening among adults ages 50-64 with disabilities,Horner-Johnson W.,2014,Disability and Health Journal,10.1016/j.dhjo.2014.06.001,14,,https://api.elsevier.com/content/abstract/scopus_id/84927974837
2-s2.0-85089499234,Nationwide Analysis of Lower Extremity Periprosthetic Fractures,Pagani N.R.,2021,Journal of Arthroplasty,10.1016/j.arth.2020.07.050,14,,https://api.elsevier.com/content/abstract/scopus_id/85089499234
2-s2.0-85099417722,"Geographic variation in the consolidation of physicians into health systems, 2016–18",Kimmey L.,2021,Health Affairs,10.1377/hlthaff.2020.00812,14,,https://api.elsevier.com/content/abstract/scopus_id/85099417722
2-s2.0-85126702518,Stakeholder Research Priorities to Promote Implementation of Shared Decision-Making for Lung Cancer Screening An American Thoracic Society and Veterans Affairs Health Services Research and Development Statement,Soylemez Wiener R.,2022,American Journal of Respiratory and Critical Care Medicine,10.1164/rccm.202201-0126ST,14,,https://api.elsevier.com/content/abstract/scopus_id/85126702518
2-s2.0-85106698103,Pharmacological treatment of a depressive episode and recurrent depressive disorder – guidelines of the Polish Psychiatric Association and the National Consultant for Adult Psychiatry,Samochowiec J.,2021,Psychiatria Polska,10.12740/PP/ONLINEFIRST/132496,14,,https://api.elsevier.com/content/abstract/scopus_id/85106698103
2-s2.0-29144460323,The intersection of nursing and health services research: An agenda to guide future research,Jones C.B.,2005,Nursing Outlook,10.1016/j.outlook.2005.09.003,13,,https://api.elsevier.com/content/abstract/scopus_id/29144460323
2-s2.0-84867810364,Valuing end-of-life care in the United States: The case of new cancer drugs,Sorenson C.,2012,Health Economics Policy and Law,10.1017/S1744133112000217,13,,https://api.elsevier.com/content/abstract/scopus_id/84867810364
2-s2.0-85126621725,Entrapment of Binaural Auditory Beats in Subjects with Symptoms of Insomnia,Lee E.,2022,Brain Sciences,10.3390/brainsci12030339,13,,https://api.elsevier.com/content/abstract/scopus_id/85126621725
2-s2.0-85137124700,Interventions for preventing and reducing the use of physical restraints of older people in general hospital settings,Abraham J.,2022,Cochrane Database of Systematic Reviews,10.1002/14651858.CD012476.pub2,13,,https://api.elsevier.com/content/abstract/scopus_id/85137124700
2-s2.0-85138110879,Trend and Impact of Concomitant CABG and Multiple-Valve Procedure on In-hospital Outcomes of SAVR Patients,Wu J.,2021,Frontiers in Cardiovascular Medicine,10.3389/fcvm.2021.740084,13,,https://api.elsevier.com/content/abstract/scopus_id/85138110879
2-s2.0-85105675465,U.S. trends in elective and emergent major abdominal surgical procedures from 2002 to 2014 in older adults,Rubin D.S.,2021,Journal of the American Geriatrics Society,10.1111/jgs.17189,13,,https://api.elsevier.com/content/abstract/scopus_id/85105675465
2-s2.0-79952940933,A systematic compilation of reports published on opioid-related problems,Butts M.,2011,Journal of Opioid Management,10.5055/jom.2011.0047,13,,https://api.elsevier.com/content/abstract/scopus_id/79952940933
2-s2.0-85090532668,Trust in health information sources among underserved and vulnerable populations in the U.S.,Wheldon C.W.,2020,Journal of Health Care for the Poor and Underserved,,13,,https://api.elsevier.com/content/abstract/scopus_id/85090532668
2-s2.0-85188633803,Integrated image and location analysis for wound classification: a deep learning approach,Patel Y.,2024,Scientific Reports,10.1038/s41598-024-56626-w,13,,https://api.elsevier.com/content/abstract/scopus_id/85188633803
2-s2.0-85144584413,Computer clinical decision support that automates personalized clinical care: A challenging but needed healthcare delivery strategy,Morris A.H.,2023,Journal of the American Medical Informatics Association,10.1093/jamia/ocac143,13,,https://api.elsevier.com/content/abstract/scopus_id/85144584413
2-s2.0-85178513003,Outcomes of Veterans Treated in Veterans Affairs Hospitals vs Non-Veterans Affairs Hospitals,Yoon J.,2023,JAMA Network Open,10.1001/jamanetworkopen.2023.45898,13,,https://api.elsevier.com/content/abstract/scopus_id/85178513003
2-s2.0-84892916649,Approach for conducting the longitudinal program evaluation of the US department of health and human services national action plan to prevent healthcare-associated infections: Roadmap to elimination,Kahn K.L.,2014,Medical Care,10.1097/MLR.0000000000000030,13,,https://api.elsevier.com/content/abstract/scopus_id/84892916649
2-s2.0-85114956874,Associations of Insurance Churn and Catastrophic Health Expenditures with Implementation of the Affordable Care Act among Nonelderly Patients with Cancer in the United States,Albright B.B.,2021,JAMA Network Open,10.1001/jamanetworkopen.2021.24280,13,,https://api.elsevier.com/content/abstract/scopus_id/85114956874
2-s2.0-84907518593,Policymaking Under Uncertainty: Routine Screening for Intimate Partner Violence,Dagher R.K.,2014,Violence Against Women,10.1177/1077801214540540,13,,https://api.elsevier.com/content/abstract/scopus_id/84907518593
2-s2.0-85092208006,Predicting quantity and quality of life with the Future Elderly Model,Ermini Leaf D.,2021,Health Economics United Kingdom,10.1002/hec.4169,13,,https://api.elsevier.com/content/abstract/scopus_id/85092208006
2-s2.0-68349125710,"The no outcome-no income tsunami is here: Are you a surfer, swimmer, or sinker?",Denham C.R.,2009,Journal of Patient Safety,10.1097/PTS.0b013e31819b0fbb,13,,https://api.elsevier.com/content/abstract/scopus_id/68349125710
2-s2.0-85117318204,Exploring the experience of boarded psychiatric patients in adult emergency departments,Major D.,2021,BMC Psychiatry,10.1186/s12888-021-03446-1,13,,https://api.elsevier.com/content/abstract/scopus_id/85117318204
2-s2.0-85099379552,Diagnostic Reliability of In-Person Versus Remote Dermatology: A Meta-Analysis,Bastola M.,2021,Telemedicine and E Health,10.1089/tmj.2020.0043,13,,https://api.elsevier.com/content/abstract/scopus_id/85099379552
2-s2.0-85069660079,Third Things as Inspiration and Artifact: A Multi-Stakeholder Qualitative Approach to Understand Patient and Family Emotions after Harmful Events,Gaufberg E.,2019,Journal of Medical Humanities,10.1007/s10912-019-09563-z,13,,https://api.elsevier.com/content/abstract/scopus_id/85069660079
2-s2.0-85132454438,"Association of the Patient Protection and Affordable Care Act with Ambulatory Quality, Patient Experience, Utilization, and Cost, 2014-2016",Levine D.M.,2022,JAMA Network Open,10.1001/jamanetworkopen.2022.18167,13,,https://api.elsevier.com/content/abstract/scopus_id/85132454438
2-s2.0-85108995932,Is concurrent intravenous alteplase in patients undergoing endovascular treatment for large vessel occlusion stroke cost-effective even if the cost of alteplase is only US$1?,Ospel J.M.,2022,Journal of Neurointerventional Surgery,10.1136/neurintsurg-2021-017817,13,,https://api.elsevier.com/content/abstract/scopus_id/85108995932
2-s2.0-85106260083,Trends in Emergency Department Visits and Hospitalizations for Acute Allergic Reactions and Anaphylaxis Among US Older Adults: 2006-2014,Arroyo A.C.,2021,Journal of Allergy and Clinical Immunology in Practice,10.1016/j.jaip.2021.03.032,13,,https://api.elsevier.com/content/abstract/scopus_id/85106260083
2-s2.0-85112124630,Community research collaboration to develop a promotores-based hereditary breast cancer education program for Spanish-speaking Latinas,Almeida R.,2021,Health Education Research,10.1093/her/cyab011,13,,https://api.elsevier.com/content/abstract/scopus_id/85112124630
2-s2.0-85117603248,Group prenatal care and improved birth outcomes: Results from a type 1 hybrid effectiveness-implementation study,Lewis J.B.,2021,Preventive Medicine,10.1016/j.ypmed.2021.106853,12,,https://api.elsevier.com/content/abstract/scopus_id/85117603248
2-s2.0-85107062463,Endothelial Dysfunction and Impaired Neurovascular Coupling Responses Precede Cognitive Impairment in a Mouse Model of Geriatric Sepsis,Csipo T.,2021,Frontiers in Aging Neuroscience,10.3389/fnagi.2021.644733,12,,https://api.elsevier.com/content/abstract/scopus_id/85107062463
2-s2.0-85087022797,Integrating simulation into advanced pharmacy practice experience curriculum: An innovative approach to training,Korayem G.B.,2020,Saudi Pharmaceutical Journal,10.1016/j.jsps.2020.06.004,12,,https://api.elsevier.com/content/abstract/scopus_id/85087022797
2-s2.0-85087174937,"Quality assurance in melanoma care: guideline-based quality indicators for melanoma – implementation, evaluation and update process",Follmann M.,2020,JDDG Journal of the German Society of Dermatology,10.1111/ddg.14149,12,,https://api.elsevier.com/content/abstract/scopus_id/85087174937
2-s2.0-84892931754,The national response for preventing healthcare-associated infections: Research and adoption of prevention practices,Kahn K.L.,2014,Medical Care,10.1097/MLR.0000000000000084,12,,https://api.elsevier.com/content/abstract/scopus_id/84892931754
2-s2.0-85083046237,Avoiding and Managing Error in Interventional Radiology Practice: Tips and Tools,Mafeld S.,2020,Canadian Association of Radiologists Journal,10.1177/0846537119899215,12,,https://api.elsevier.com/content/abstract/scopus_id/85083046237
2-s2.0-85121485539,Diagnosis of multidrug-resistant pathogens of pneumonia,Sfeir M.M.,2021,Diagnostics,10.3390/diagnostics11122287,12,,https://api.elsevier.com/content/abstract/scopus_id/85121485539
2-s2.0-85111971143,A scoping review of registry captured indicators for evaluating quality of critical care in ICU,Jawad I.,2021,Journal of Intensive Care,10.1186/s40560-021-00556-6,12,,https://api.elsevier.com/content/abstract/scopus_id/85111971143
2-s2.0-85045078615,Old and sick in America: The Journey through the health care system,Gillick M.R.,2017,Old and Sick in America the Journey Through the Health Care System,,12,,https://api.elsevier.com/content/abstract/scopus_id/85045078615
2-s2.0-84908095452,Building workforce capacity for complex care coordination: A function analysis of workflow activity,Heslop L.,2014,Human Resources for Health,10.1186/1478-4491-12-52,12,,https://api.elsevier.com/content/abstract/scopus_id/84908095452
2-s2.0-85133128229,"The Role of p16/ Ki‐67 Immunostaining, hTERC Amplification and Fibronectin in Predicting Cervical Cancer Progression: A Systematic Review",Voidăzan S.T.,2022,Biology,10.3390/biology11070956,12,,https://api.elsevier.com/content/abstract/scopus_id/85133128229
2-s2.0-85124953905,Severity of Hospitalizations from SARS-CoV-2 vs Influenza and Respiratory Syncytial Virus Infection in Children Aged 5 to 11 Years in 11 US States,Encinosa W.,2022,JAMA Pediatrics,10.1001/jamapediatrics.2021.6566,12,,https://api.elsevier.com/content/abstract/scopus_id/85124953905
2-s2.0-85125434370,Don’t change who we are but give us a chance: confronting the potential of community health worker certification for workforce recognition and exclusion,Kissinger A.,2022,Archives of Public Health,10.1186/s13690-022-00815-4,12,,https://api.elsevier.com/content/abstract/scopus_id/85125434370
2-s2.0-85087170717,Association of Household Exposure to Primary Clostridioides difficile Infection with Secondary Infection in Family Members,Miller A.C.,2020,JAMA Network Open,10.1001/jamanetworkopen.2020.8925,12,,https://api.elsevier.com/content/abstract/scopus_id/85087170717
2-s2.0-85084529121,Structural deformation in pathogenic bacteria cells caused by marine fungal metabolites: An in vitro investigation: Structural deformation by marine fungal metabolites,Agrawal S.,2020,Microbial Pathogenesis,10.1016/j.micpath.2020.104248,12,,https://api.elsevier.com/content/abstract/scopus_id/85084529121
2-s2.0-85088201163,Assessing the readiness of digital data infrastructure for opioid use disorder research,Venkatesh A.,2020,Addiction Science and Clinical Practice,10.1186/s13722-020-00198-3,12,,https://api.elsevier.com/content/abstract/scopus_id/85088201163
2-s2.0-84961726902,Intensity- and domain-specific levels of physical activity and sedentary behavior in 10- to 14-year-old children,De Baere S.,2015,Journal of Physical Activity and Health,10.1123/jpah.2014-0416,12,,https://api.elsevier.com/content/abstract/scopus_id/84961726902
2-s2.0-85024104244,Health care comes home: The human factors,,2011,Health Care Comes Home the Human Factors,10.17226/13149,12,,https://api.elsevier.com/content/abstract/scopus_id/85024104244
2-s2.0-85090226868,A Nationwide Analysis of Budd–Chiari Syndrome in the United States,Alukal J.J.,2021,Journal of Clinical and Experimental Hepatology,10.1016/j.jceh.2020.08.005,12,,https://api.elsevier.com/content/abstract/scopus_id/85090226868
2-s2.0-85108303086,Predictors of mental health status among older united states adults with pain,Axon D.R.,2021,Behavioral Sciences,10.3390/bs11020023,12,,https://api.elsevier.com/content/abstract/scopus_id/85108303086
2-s2.0-85122161886,“Tackling the Substance Use Disorder Crisis: The Role of Access to Treatment Facilities”,Corredor-Waldron A.,2022,Journal of Health Economics,10.1016/j.jhealeco.2021.102579,12,,https://api.elsevier.com/content/abstract/scopus_id/85122161886
2-s2.0-85103766979,Disparities in Preventable Hospitalization Among Patients With Alzheimer Diseases,Chen J.,2021,American Journal of Preventive Medicine,10.1016/j.amepre.2020.12.014,12,,https://api.elsevier.com/content/abstract/scopus_id/85103766979
2-s2.0-85102125206,Young at gut—turning back the clock with the gut microbiome,Narasimhan H.,2021,Microorganisms,10.3390/microorganisms9030555,12,,https://api.elsevier.com/content/abstract/scopus_id/85102125206
2-s2.0-85105547457,Reducing Disparities Using Telehealth Approaches for Postdelivery Preeclampsia Care,Kern-Goldberger A.,2021,Clinical Obstetrics and Gynecology,10.1097/GRF.0000000000000605,12,,https://api.elsevier.com/content/abstract/scopus_id/85105547457
2-s2.0-85100574406,Vitamin d restores skeletal muscle cell remodeling and myogenic program: Potential impact on human health,Crescioli C.,2021,International Journal of Molecular Sciences,10.3390/ijms22041760,12,,https://api.elsevier.com/content/abstract/scopus_id/85100574406
2-s2.0-85092409409,"A Cost-Effectiveness Framework for Amyotrophic Lateral Sclerosis, Applied to Riluzole",Thakore N.J.,2020,Value in Health,10.1016/j.jval.2020.06.012,12,,https://api.elsevier.com/content/abstract/scopus_id/85092409409
2-s2.0-32044456263,Hospital payment systems: Will payers like the future better than the past?,Nichols L.M.,2006,Health Affairs,10.1377/hlthaff.25.1.81,11,,https://api.elsevier.com/content/abstract/scopus_id/32044456263
2-s2.0-85148643111,Validation of a digit symbol substitution test for use in supervised and unsupervised assessment in mild Alzheimer’s disease,Williamson M.,2022,Journal of Clinical and Experimental Neuropsychology,10.1080/13803395.2023.2179977,11,,https://api.elsevier.com/content/abstract/scopus_id/85148643111
2-s2.0-85121471704,"Asymptomatic Bacteriuria, antimicrobial susceptibility pattern and associated risk factors among pregnant women attending antenatal care in Assosa General Hospital, Western Ethiopia",Abu D.,2021,BMC Microbiology,10.1186/s12866-021-02417-6,11,,https://api.elsevier.com/content/abstract/scopus_id/85121471704
2-s2.0-85081375255,"Inflammatory bowel disease in Mexico: Epidemiology, burden of disease, and treatment trends",Yamamoto-Furusho J.K.,2020,Revista De Gastroenterologia De Mexico,10.1016/j.rgmx.2019.07.008,11,,https://api.elsevier.com/content/abstract/scopus_id/85081375255
2-s2.0-85170169271,Closed-Loop Medication Management with an Electronic Health Record System in U.S. and Finnish Hospitals,Shermock S.B.,2023,International Journal of Environmental Research and Public Health,10.3390/ijerph20176680,11,,https://api.elsevier.com/content/abstract/scopus_id/85170169271
2-s2.0-85107061918,Trends and Variation in the Use of Observation Stays at Children's Hospitals,Tian Y.,2021,Journal of Hospital Medicine,10.12788/jhm.3622,11,,https://api.elsevier.com/content/abstract/scopus_id/85107061918
2-s2.0-85118283197,Trends in Comorbidities among Human Immunodeficiency Virus-Infected Hospital Admissions in New York City from 2006-2016,Rowell-Cunsolo T.L.,2021,Clinical Infectious Diseases,10.1093/cid/ciaa1760,11,,https://api.elsevier.com/content/abstract/scopus_id/85118283197
2-s2.0-85124059506,Disparities in diabetes-related avoidable hospitalization among diabetes patients with disability using a nationwide cohort study,Youn H.M.,2022,Scientific Reports,10.1038/s41598-022-05557-5,11,,https://api.elsevier.com/content/abstract/scopus_id/85124059506
2-s2.0-85097151516,"‘They say our work is not halal’: Experiences and challenges of refugee community workers involved in gender-based violence prevention and care in Dadaab, Kenya",Izugbara C.,2020,Journal of Refugee Studies,10.1093/jrs/fey055,11,,https://api.elsevier.com/content/abstract/scopus_id/85097151516
2-s2.0-85090105330,"Taking the long view in an inpatient medical unit: A person-centered, integrated team approach for patients with severe mental illnesses",Wittink M.N.,2020,Psychiatric Services,10.1176/appi.ps.201900385,11,,https://api.elsevier.com/content/abstract/scopus_id/85090105330
2-s2.0-85168486030,"Federal policy to advance racial, ethnic, and tribal health equity",Burke S.P.,2023,Federal Policy to Advance Racial Ethnic and Tribal Health Equity,10.17226/26834,11,,https://api.elsevier.com/content/abstract/scopus_id/85168486030
2-s2.0-27744494436,Disparities in the financial burden of children's healthcare expenditures,Wong S.T.,2005,Archives of Pediatrics and Adolescent Medicine,10.1001/archpedi.159.11.1008,11,,https://api.elsevier.com/content/abstract/scopus_id/27744494436
2-s2.0-84865304131,Health Care Expenditure Among People With Disabilities: Potential Role of Workplace Health Promotion and Implications for Rehabilitation Counseling,Karpur A.,2012,Rehabilitation Counseling Bulletin,10.1177/0034355212439756,11,,https://api.elsevier.com/content/abstract/scopus_id/84865304131
2-s2.0-85146523704,"Impact of human papillomavirus vaccine on cervical cancer epidemic: Evidence from the surveillance, epidemiology, and end results program",Pei J.,2023,Frontiers in Public Health,10.3389/fpubh.2022.998174,11,,https://api.elsevier.com/content/abstract/scopus_id/85146523704
2-s2.0-85163356635,The Health Impacts of Hospital Delivery Practices,Card D.,2023,American Economic Journal Economic Policy,10.1257/pol.20210034,11,,https://api.elsevier.com/content/abstract/scopus_id/85163356635
2-s2.0-85094983244,National trends in outpatient mental health service use among adults between 2008 and 2015,Germack H.D.,2020,Psychiatric Services,10.1176/APPI.PS.201900576,11,,https://api.elsevier.com/content/abstract/scopus_id/85094983244
2-s2.0-85078656097,Management strategies and clinical outcomes of acute myocardial infarction in leukaemia patients: Nationwide insights from United States hospitalisations,Mohamed M.O.,2020,International Journal of Clinical Practice,10.1111/ijcp.13476,11,,https://api.elsevier.com/content/abstract/scopus_id/85078656097
2-s2.0-85085715206,"Injection Drug Use in Patients with Spinal Epidural Abscess: Nationwide Data, 2000 to 2013",Toppo A.J.,2020,Spine,10.1097/BRS.0000000000003401,11,,https://api.elsevier.com/content/abstract/scopus_id/85085715206
2-s2.0-85091201587,Effect of herbal extract Eurycoma longifolia (Physta®) on female reproductive hormones and bone biochemical markers: an ovariectomised rat model study,M. Chinnappan S.,2020,BMC Complementary Medicine and Therapies,10.1186/s12906-020-2814-z,11,,https://api.elsevier.com/content/abstract/scopus_id/85091201587
2-s2.0-85133753512,Implementation of Telehealth for Psychiatric Care in VA Emergency Departments and Urgent Care Clinics,Ward M.J.,2022,Telemedicine and E Health,10.1089/tmj.2021.0263,11,,https://api.elsevier.com/content/abstract/scopus_id/85133753512
2-s2.0-85134349436,Perioperative Mobile Telehealth Program for Post-Prostatectomy Incontinence: A Randomized Clinical Trial,Goode P.S.,2022,Journal of Urology,10.1097/JU.0000000000002697,11,,https://api.elsevier.com/content/abstract/scopus_id/85134349436
2-s2.0-84864331512,Developing an integrated strategy to reduce ethnic and racial disparities in the delivery of clinical preventive services for older americans,Shenson D.,2012,American Journal of Public Health,10.2105/AJPH.2012.300701,11,,https://api.elsevier.com/content/abstract/scopus_id/84864331512
2-s2.0-84865118066,Dissemination and Implementation Research in Community and Public Health Settings,Stamatakis K.A.,2012,Dissemination and Implementation Research in Health Translating Science to Practice,10.1093/acprof:oso/9780199751877.003.0017,11,,https://api.elsevier.com/content/abstract/scopus_id/84865118066
2-s2.0-85166921728,Pediatric Respiratory Illnesses: An Update on Achievable Benchmarks of Care,Reyes M.A.,2023,Pediatrics,10.1542/peds.2022-058389,11,,https://api.elsevier.com/content/abstract/scopus_id/85166921728
2-s2.0-85126063457,"A New Approach to Overcome Insulin Resistance in Patients with Impaired Glucose Tolerance: The Results of a Multicenter, Double-Blind, Placebo-Controlled, Randomized Clinical Trial of Efficacy and Safety of Subetta",Mkrtumyan A.,2022,Journal of Clinical Medicine,10.3390/jcm11051390,11,,https://api.elsevier.com/content/abstract/scopus_id/85126063457
2-s2.0-85094969742,Skin Changes Due to Massive Weight Loss: Histological Changes and the Causes of the Limited Results of Contouring Surgeries,Rocha R.I.,2021,Obesity Surgery,10.1007/s11695-020-05100-3,11,,https://api.elsevier.com/content/abstract/scopus_id/85094969742
2-s2.0-85115647592,Economic burden of comorbidities among COPD Patients hospitalized for acute exacerbations: an analysis of a commercially insured population,Shah C.H.,2022,Expert Review of Pharmacoeconomics and Outcomes Research,10.1080/14737167.2021.1981291,11,,https://api.elsevier.com/content/abstract/scopus_id/85115647592
2-s2.0-85092171396,Ascertaining service quality and medical practitioners' sensitivity towards surgical instruments using SERVQUAL,MM S.,2021,Benchmarking,10.1108/BIJ-04-2020-0165,11,,https://api.elsevier.com/content/abstract/scopus_id/85092171396
2-s2.0-85136345982,Th17/Regulatory T-Cell Imbalance and Acute Kidney Injury in Patients with Sepsis,Zhou X.,2022,Journal of Clinical Medicine,10.3390/jcm11144027,11,,https://api.elsevier.com/content/abstract/scopus_id/85136345982
2-s2.0-85084103403,Education level and hospitalization for ambulatory care sensitive conditions: An education approach is required,Buja A.,2021,European Journal of Public Health,10.1093/EURPUB/CKZ122,11,,https://api.elsevier.com/content/abstract/scopus_id/85084103403
2-s2.0-85105015296,Risk factors of cervical cancer after a negative cytological diagnosis in Polish cervical cancer screening programme,Macios A.,2021,Cancer Medicine,10.1002/cam4.3857,11,,https://api.elsevier.com/content/abstract/scopus_id/85105015296
2-s2.0-85105195898,"Divergent trends of hospitalizations for upper and lower gastrointestinal bleeding based on population prescriptions of aspirin, proton pump inhibitors and Helicobacter pylori eradication therapy: Trends of upper and lower gastrointestinal bleeding",Guo C.G.,2021,United European Gastroenterology Journal,10.1002/ueg2.12067,11,,https://api.elsevier.com/content/abstract/scopus_id/85105195898
2-s2.0-85115349015,Methicillin-resistant Staphylococcus aureus (MRSA) nasal carriage among patients with diabetes at the Korle Bu Teaching Hospital,Anafo R.B.,2021,Plos One,10.1371/journal.pone.0257004,11,,https://api.elsevier.com/content/abstract/scopus_id/85115349015
2-s2.0-85117710144,High-cost high-need patients in Medicaid_ segmenting the population eligible for a national complex case management program,Quinton J.K.,2021,BMC Health Services Research,10.1186/s12913-021-07116-6,11,,https://api.elsevier.com/content/abstract/scopus_id/85117710144
2-s2.0-85114337858,Racial Disparities in Avoidable Hospitalizations in Traditional Medicare and Medicare Advantage,Park S.,2021,Medical Care,10.1097/MLR.0000000000001632,11,,https://api.elsevier.com/content/abstract/scopus_id/85114337858
2-s2.0-85152849108,Breastfeeding: A Guide for the Medical Professional (Expert Consult - Online and Print),Lawrence R.A.,2010,Breastfeeding A Guide for the Medical Professional Expert Consult Online and Print,10.1016/C2009-0-47458-0,10,,https://api.elsevier.com/content/abstract/scopus_id/85152849108
2-s2.0-85093539438,The value of all-cause mortality as a metric for assessing breast cancer screening,Yaffe M.J.,2020,Journal of the National Cancer Institute,10.1093/jnci/djaa025,10,,https://api.elsevier.com/content/abstract/scopus_id/85093539438
2-s2.0-85147422231,Monkeypox outbreaks in the context of the COVID-19 pandemic: Network and clustering analyses of global risks and modified SEIR prediction of epidemic trends,Gao J.,2023,Frontiers in Public Health,10.3389/fpubh.2023.1052946,10,,https://api.elsevier.com/content/abstract/scopus_id/85147422231
2-s2.0-85080078832,Impact of nonphysician providers on spatial accessibility to primary care in Iowa,Young S.G.,2020,Health Services Research,10.1111/1475-6773.13280,10,,https://api.elsevier.com/content/abstract/scopus_id/85080078832
2-s2.0-28444448703,Stakeholder views regarding cultural diversity teaching outcomes: A qualitative study,Dogra N.,2005,BMC Medical Education,10.1186/1472-6920-5-37,10,,https://api.elsevier.com/content/abstract/scopus_id/28444448703
2-s2.0-73949115183,Chasing zero: Can reality meet the rhetoric?,Denham C.R.,2009,Journal of Patient Safety,10.1097/PTS.0b013e3181c1b470,10,,https://api.elsevier.com/content/abstract/scopus_id/73949115183
2-s2.0-84895244003,Application of environmental psychology theories and frameworks to evidence-based healthcare design,Pati D.,2010,Environmental Psychology New Developments,,10,,https://api.elsevier.com/content/abstract/scopus_id/84895244003
2-s2.0-85064006408,Recruiting and retaining service agencies and public health providers in longitudinal studies: Implications for community-engaged implementation research,Pinto R.M.,2018,Methodological Innovations,10.1177/2059799118770996,10,,https://api.elsevier.com/content/abstract/scopus_id/85064006408
2-s2.0-85125091416,Characterizing Potentially Preventable Hospitalizations of High-Cost Patients in Rural China,Lu S.,2022,Frontiers in Public Health,10.3389/fpubh.2022.804734,10,,https://api.elsevier.com/content/abstract/scopus_id/85125091416
2-s2.0-85125682687,Pregnancies with Cirrhosis Are Rising and Associated with Adverse Maternal and Perinatal Outcomes,Huang A.C.,2022,American Journal of Gastroenterology,10.14309/ajg.0000000000001590,10,,https://api.elsevier.com/content/abstract/scopus_id/85125682687
2-s2.0-85099024086,Outcomes of transcatheter versus surgical aortic valve replacement among solid organ transplant recipients,Elbadawi A.,2021,Catheterization and Cardiovascular Interventions,10.1002/ccd.29426,10,,https://api.elsevier.com/content/abstract/scopus_id/85099024086
2-s2.0-85134083572,Identification of Fall-Related Injuries in Nursing Home Residents Using Administrative Claims Data,Mintz J.,2022,Journals of Gerontology Series A Biological Sciences and Medical Sciences,10.1093/gerona/glab274,10,,https://api.elsevier.com/content/abstract/scopus_id/85134083572
2-s2.0-85127352170,Opioid use disorder-related emergency department visits among deaf or hard of hearing adults in the United States,Akobirshoev I.,2022,Disability and Health Journal,10.1016/j.dhjo.2022.101291,10,,https://api.elsevier.com/content/abstract/scopus_id/85127352170
